Item,Mean,Var,Mixed_Means,Mixed_Stds,Raw_Distrib,Discrete_Distrib,Sentence
139466:13,5.538461538461538,4.710059171597633,[6.7        1.66666667],[0.3240378064362243  0.3333340833324895],[2  7  7  6  7  6  7  7  6  2  7  7  1],[0.07692308 0.15384615 0.         0.         0.         0.23076923 0.53846154],"you pour bouillon or chicken broth over it."
155785:58,4.444444444444445,4.024691358024691,[6.50139284 2.80751841],[0.35356550577111606  0.7007109292480053],[3  4  6  7  3  7  1  6  3],[0.11111111 0.         0.33333333 0.11111111 0.         0.22222222 0.22222222],"and we seem  to be able  to get along with the president turnover ever eight years or four years."
84591:56,3.6,6.24,[1.66668065 6.49940857],[0.5272638804194228  0.6132907138808679],[2  1  1  2  7  7  3  5  7  1],[0.3 0.2 0.1 0.  0.1 0.  0.3],"and this thing  came on where these, a group of like five or six guys went and filmed themselves beating up people in the street and, and robbing them ."
84000:35,2.6666666666666665,3.5555555555555554,[1.71428571 6.        ],[0.4948721645794625  0.0007071067811865475],[2  3  1  6  2  1  1  6  2],[0.33333333 0.33333333 0.11111111 0.         0.         0.22222222 0.        ],"it almost costs so much  to fix anything or do anything with it, you're just better off  buying another car."
160767:43,3.090909090909091,5.7190082644628095,[1.75086704 6.6670182 ],[0.7716743995599185  0.33324730656411694],[4  1  1  7  3  2  1  1  1  7  6],[0.45454545 0.09090909 0.09090909 0.09090909 0.         0.09090909 0.18181818],"so much of it, is now just going  to service debt or you know, is going in, into, into programs that, you know,"
46087:36,4.6,4.04,[5.85714283 1.66666666],[0.4517545663630705  0.3333340849341303],[2  6  2  6  1  6  5  6  7  5],[0.1 0.2 0.  0.  0.2 0.4 0.1],"and then i'll, uh, normally check out the eagles or the patriots."
52016:33,2.4,3.6399999999999997,[1.4999826  5.99942895],[0.3535540978052298  0.7078666530030187],[1  2  2  1  7  1  2  2  5  1],[0.4 0.4 0.  0.  0.1 0.  0.1],"i haven't been to a movie theater in probably eight or nine months,"
23676:18,2.1818181818181817,3.239669421487603,[1.7 7. ],[0.7106338806362168  0.0007071067811865475],[1  1  1  1  2  3  1  1  4  7  2],[0.54545455 0.18181818 0.09090909 0.09090909 0.         0. 0.09090909],"you serve that yourself, or the, for a family."
63674:32,2.9,2.4899999999999998,[2.04321067 4.98617466],[0.5774188474452646  0.6283586060675588],[3  3  1  2  2  5  2  4  6  1],[0.2 0.3 0.2 0.1 0.1 0.1 0. ],"you know, the differences between seventy and seventy-two or seventy-five degrees isn't much,"
95254:54,2.3636363636363638,3.1404958677685952,[3.99977622 1.        ],[1.0001307660836605  0.0007071067811865475],[1  4  2  1  5  3  1  1  6  1  1],[0.54545455 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.        ],"and i couldn't just, you know, wait for eight, three or four months and then bring them back to her"
76810:84,1.2222222222222223,0.1728395061728395,[2. 1.],[0.0007071067811865475  0.0007071067811865475],[1  1  2  1  1  1  1  2  1],[0.77777778 0.22222222 0.         0.         0.         0. 0.        ],"and, uh, it 's too bad that all this stuff is just being thrown  into a data base, and that none of the ideas or thoughts are being used  at all."
19130:45,2.4,2.2399999999999998,[1.6940392  4.61182666],[0.44246685790296575  0.888166824866907],[2  4  1  1  1  2  2  2  3  6],[0.3 0.4 0.1 0.1 0.  0.1 0. ],"and now that with gorbachev is introducing more, i guess, freedoms or expressions of freedom, it doesn't look as though, you know, everybody's following the same pattern."
138291:77,3.7,3.81,[2.30659839 5.58719448],[0.8164864343863084  0.6975925814842279],[2  5  1  3  1  7  6  3  5  4],[0.2 0.1 0.2 0.1 0.2 0.1 0.1],"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth"
19844:87,3.4,4.24,[2.14289862 6.33334164],[0.5890802859337818  0.3333361607467502],[1  6  3  6  3  2  2  1  7  3],[0.2 0.2 0.3 0.  0.  0.2 0.1],"well, i've gone to the point where my husband, my husband travels, i get out like, you know, two or three books ."
75445:52,3.3,2.41,[4.49999334 1.50000538],[0.353567144194859  0.35356714403898987],[4  2  5  5  4  4  2  1  5  1],[0.2 0.2 0.  0.3 0.3 0.  0. ],"these days they have these tiny little things that  are only about the size of two or three pencils."
113176:393,3.3333333333333335,2.666666666666667,[2.36116714 5.3396382 ],[0.6908488573288188  0.3349148040991603],[1  3  1  3  3  5  6  3  5],[0.22222222 0.         0.44444444 0.         0.22222222 0.11111111 0.        ],"uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want  to , rent a car if i want  to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not."
62433:170,3.0,5.111111111111111,[1.49901373 5.99581689],[0.539627268743136  0.5823978614789904],[1  2  1  1  5  3  1  6  7],[0.44444444 0.11111111 0.11111111 0.         0.11111111 0.11111111 0.11111111],"and maybe rather than just, require somebody to join like the peace corps for a year maybe like, um, during college, you know, maybe have some kind of course where they'd be required  to do some kind of community service type work, and help people in that area or people in the united states ."
155153:30,2.6,5.24,[7.  1.5],[0.0007071067811865475  0.5000004999997515],[7  2  1  7  1  1  3  2  1  1],[0.5 0.2 0.1 0.  0.  0.  0.2],"uh, well i think, either my wife or i would like  to pursue advanced degrees at some point"
126348:129,3.625,5.984375,[1.80000035 6.66666676],[0.5291514004866077  0.3333340604239136],[6  7  1  1  7  3  2  2],[0.25  0.25  0.125 0.    0.    0.125 0.25 ],"i guess in some cases they just consider  pickup your, your phone and, and, and not let you use your phone for a while whether you hang up on them or not."
14162:28,1.8888888888888888,1.432098765432099,[1.5 5. ],[0.35355409769973645  0.0007071067811865475],[2  2  5  1  1  1  1  2  2],[0.44444444 0.44444444 0.         0.         0.11111111 0. 0.        ],"radio seems  to have a full platter or full plate of different things that they need  to get  done."
39760:67,2.8,4.76,[1.42857143 6.        ],[0.5150792390382067  0.0007071067811865475],[2  1  6  1  1  6  1  3  1  6],[0.5 0.1 0.1 0.  0.  0.3 0. ],"and we have a share alike column in the paper, where people, you know, write in and share recipes or write in and say i'm looking for this recipe ,"
71894:104,2.7,1.61,[3.72014564 1.6252303 ],[0.5980616085614502  0.3879427917834228],[2  2  4  3  4  5  2  1  3  1],[0.2 0.3 0.2 0.2 0.1 0.  0. ],"but i feel guilty for  not going, because i really i'm, i'm so used to  going for, you know, three or four years now."
127555:91,4.3,5.01,[1.74917566 5.997209  ],[0.5871089199153701  0.5809247506679164],[2  1  6  3  5  7  7  6  5  1],[0.2 0.1 0.1 0.  0.2 0.2 0.2],"and no matter what the weather is  they can walk at a pretty good clip and, and not have  to worry about the weather summer or winter."
111864:66,3.5833333333333335,5.909722222222222,[1.3315628  5.82222946],[0.3328894305671136  0.869240504069206],[2  4  1  7  7  5  1  2  5  1  1  7],[0.33333333 0.16666667 0.         0.08333333 0.16666667 0. 0.25      ],"so sometimes we drive for a couple hundred miles until we find a wendy's, because it's all either mcdonald's or dairy queens,"
24609:54,2.2,2.56,[3.91354068 1.23899642],[1.0527065629443335  0.30204785604577017],[4  1  2  2  1  3  6  1  1  1],[0.5 0.2 0.1 0.1 0.  0.1 0. ],"well, does your r-, does your job require you to drive company equipment or to ap-, operate any type of machinery that  might endanger someone."
54952:27,4.5,4.05,[2.25812088 5.99936412],[0.5960876371100182  0.5804619915359047],[5  2  6  3  5  1  7  3  6  7],[0.1 0.1 0.2 0.  0.2 0.2 0.2],"is that the one set in the fifties, or sixties."
22715:55,3.6,4.4399999999999995,[1.60021204 5.60003455],[0.5659886485306397  0.3464108893502595],[6  2  6  3  5  5  1  6  1  1],[0.3 0.1 0.1 0.  0.2 0.3 0. ],"i've, i've caught them from, you know, three or four inches long up to, uh,"
104342:42,2.1818181818181817,3.2396694214876036,[1.12422202 4.9928961 ],[0.2332294009973675  0.585817229504719],[5  1  6  1  1  1  2  1  4  1  1],[0.63636364 0.09090909 0.         0.09090909 0.09090909 0.09090909 0.        ],"and i couldn't tell whether some parts of town had started it or if it was just everybody was, was waiting for the delivery of whatever those containers were ."
122789:26,4.0,5.2,[1.         5.28568849],[0.0007071067811865475  0.9794047598703377],[7  4  5  3  1  5  7  6  1  1],[0.3 0.  0.1 0.1 0.2 0.1 0.2],"uh, i was down at about four or five quite awhile ago."
137870:64,3.3636363636363638,6.231404958677686,[6.49921011 1.57130231],[0.613482098842454  0.5150901117974849],[3  1  1  1  2  2  7  1  5  7  7],[0.36363636 0.18181818 0.09090909 0.         0.09090909 0. 0.27272727],"so the only thing i had  to decide on  was whether i wanted a c d  or not in the stereo system."
50514:57,3.4,5.4399999999999995,[5.59541968 1.19899876],[0.7263685526335788  0.2823112214555183],[7  1  2  6  1  6  1  4  1  5],[0.4 0.1 0.  0.1 0.1 0.2 0.1],"we're, we're going  to become dependent on these other folks sooner or later."
132601:54,3.8181818181818183,6.5123966942148765,[5.99424524 1.19865885],[0.8229719855871621  0.28212985627360404],[4  1  6  1  7  1  7  1  5  2  7],[0.36363636 0.09090909 0.         0.09090909 0.09090909 0.09090909 0.27272727],"well, it, it's just like having taxes on , or exemptions for  kids, you know."
170074:84,3.6,4.4399999999999995,[2.75002888 7.        ],[0.9842790655440323  0.0007071067811865475],[5  4  3  4  1  2  7  2  7  1],[0.2 0.2 0.1 0.2 0.1 0.  0.2],"and it, that i, i don't know if i ever went as far as three months  or not i-, i-, in  keeping that kind of data."
143478:98,3.5,4.05,[5.74187912 2.00063588],[0.5960876371100184  0.5804619915359047],[5  3  1  2  5  1  2  7  6  3],[0.2 0.2 0.2 0.  0.2 0.1 0.1],"when we moved from louisiana to denver , it  was astounding, you know, to find that prices were, oh, i guess almost two or three times as high as we'd expected."
164042:75,2.4,2.6399999999999997,[1.4276757 4.6589509],[0.5161695595149363  0.34359591742693135],[4  5  1  5  1  1  1  1  2  3],[0.5 0.1 0.1 0.1 0.2 0.  0. ],"and, uh, you know, v eights seem  to be a return to the days of, you know, ten or twelve miles a gallon."
52509:46,1.7,1.6099999999999999,[1.         3.33300793],[0.0007071067811865475  0.8820710821259998],[1  3  1  1  1  1  2  1  5  1],[0.7 0.1 0.1 0.  0.1 0.  0. ],"like the alcoholic that  charges up all the bills on the credit card, or the shopaholic, you know you get your life right with god."
1786:119,3.8,4.959999999999999,[1.24924347 5.49761054],[0.30587756828276946  0.6798649435295069],[6  1  1  6  4  7  1  2  5  5],[0.3 0.1 0.  0.1 0.2 0.2 0.1],"i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that  is really due to them."
127492:21,3.5555555555555554,5.802469135802468,[5.59999983 1.        ],[0.7211108629637428  0.0007071067811865475],[7  6  1  1  6  5  4  1  1],[0.44444444 0.         0.         0.11111111 0.11111111 0.22222222 0.11111111],"do you do it at home or a club."
170957:97,2.7,3.21,[1.875 6.   ],[0.5519855152817641  0.0007071067811865475],[6  6  2  2  1  2  3  3  1  1],[0.3 0.3 0.2 0.  0.  0.2 0. ],"i think my wife is much better  than i am at that walking into a place and getting a feeling for whether it is a loving and caring place or not."
18787:67,2.8,3.56,[1.55778247 4.63965866],[0.41205429054543075  1.153186503985879],[2  1  2  5  2  7  1  4  3  1],[0.3 0.3 0.1 0.1 0.1 0.  0.1],"i don't know if it's, the, if they've done it citywide yet  or not where they have the color coded, uh, bags and, uh, bins ."
737:58,3.6666666666666665,6.222222222222222,[5.79999997 1.        ],[0.6928207338350992  0.0007071067811865475],[7  6  1  4  6  6  1  1  1],[0.44444444 0.         0.         0.11111111 0.         0.33333333 0.11111111],"they've got, uh, they've got a couple of kids, ten or twelve years old,"
152408:21,3.4,5.840000000000001,[1.50000007 6.25000001],[0.5400623202947669  0.30618703657946333],[6  1  3  6  6  7  1  1  1  2],[0.4 0.1 0.1 0.  0.  0.3 0.1],"are you talking about with criminal or civil suits."
75061:22,3.2,2.96,[1.42727515 3.97828112],[0.356015945744038  1.0399137705725958],[4  3  1  1  7  2  4  2  4  4],[0.2 0.2 0.1 0.4 0.  0.  0.1],"and now it's running ten or fifteen minutes fast again."
120851:76,3.625,4.234375,[1.29362288 4.87534695],[0.322032464240268  0.9786958118043286],[4  1  4  6  1  7  4  2],[0.25  0.125 0.    0.375 0.    0.125 0.125],"well, um, i have gone to girl's camp a few times, as a, you know, a chaperon or a leader, whatever"
25522:55,3.2,4.960000000000001,[5.74577361 1.49966416],[0.7753063618711439  0.35358478218958245],[2  7  6  1  6  4  2  2  1  1],[0.3 0.3 0.  0.1 0.  0.2 0.1],"i guess, the first time i played golf  has been probably about eight or ten years ago now, when i was in college ."
163335:87,2.0,2.1818181818181817,[1.33333333 5.        ],[0.33333408333249115  0.0007071067811865475],[1  1  2  5  1  2  1  1  1  5  2],[0.54545455 0.27272727 0.         0.         0.18181818 0. 0.        ],"uh, our policies and procedures manual, uh, the furthest it goes  about drugs is in the, kind of the miscellaneous section, or its reasons for immediate dismissal,"
29727:27,3.2,3.96,[1.39332315 4.96298138],[0.3454174900808913  0.8056460266557952],[5  2  1  2  4  1  1  7  4  5],[0.3 0.2 0.  0.2 0.2 0.  0.1],"and it usually takes long stitches over two or three openings in the cloth."
151896:22,3.3636363636363638,5.140495867768596,[1.         4.71406256],[0.0007071067811865475  1.2373096602992912],[7  1  4  1  7  5  5  1  1  2  3],[0.36363636 0.09090909 0.09090909 0.09090909 0.18181818 0. 0.18181818],"so we go  backpacking fifteen or twenty miles,"
143849:35,2.8181818181818183,5.239669421487603,[6.32678184 1.49891173],[0.6741742304493723  0.49938698118367014],[2  7  3  5  1  7  1  1  1  1  2],[0.45454545 0.18181818 0.09090909 0.         0.09090909 0. 0.18181818],"but i still don't know if sears will take visa or mastercard."
119921:34,3.0,5.111111111111111,[1.85714286 7.        ],[0.5890155138804697  0.0007071067811865475],[2  1  7  3  1  1  7  3  2],[0.33333333 0.22222222 0.22222222 0.         0.         0. 0.22222222],"i don't know if they're making them better or not,"
160448:28,3.6,1.6400000000000001,[5.0350086  2.71083706],[0.5038216061287784  0.3708433171375386],[3  6  2  3  5  2  3  5  3  4],[0.  0.2 0.4 0.1 0.2 0.1 0. ],"i just catch the major ones off the news or if someone starts  to talk about it."
110197:24,3.8,5.76,[5.98927343 1.59912445],[0.9053804879078148  0.34658325377705734],[4  2  2  1  7  2  7  1  7  5],[0.2 0.3 0.  0.1 0.1 0.  0.3],"and that's just like a mile or two from our house."
92409:51,3.8,3.3600000000000003,[1.78198511 5.1672303 ],[0.6187406336846056  0.49460900866032803],[1  5  2  6  1  4  5  5  3  6],[0.2 0.1 0.1 0.1 0.3 0.2 0. ],"i would, i would spend all my time  in london, or most of my time,"
169577:50,5.9,2.29,[6.33333333 2.        ],[0.5773507095504519  0.0007071067811865475],[2  5  6  6  7  7  7  7  5  7],[0.  0.1 0.  0.  0.2 0.2 0.5],"i think in like, uh, lesser cases it's like ten out of twelve or five out of six, whatever. how ever many  is on, sitting on a jury."
37457:58,2.3333333333333335,2.4444444444444446,[1.57142864 5.        ],[0.5150793546668265  0.0007071067811865475],[1  1  5  5  1  1  2  2  3],[0.44444444 0.22222222 0.11111111 0.         0.22222222 0. 0.        ],"they don't have the offense to, uh, to get out, or to have the, the more runs ,"
18012:53,2.2222222222222223,5.283950617283951,[1.  6.5],[0.0007071067811865475  0.35355409769934765],[7  1  1  6  1  1  1  1  1],[0.77777778 0.         0.         0.         0.         0.11111111 0.11111111],"i don-, i don't know if i get e s p n or not."
30178:66,3.4,5.04,[2.24269913 6.35098098],[0.9603176261488918  0.7296900180140372],[4  2  2  1  7  4  1  1  7  5],[0.3 0.2 0.  0.2 0.1 0.  0.2],"and whe-, when i finally got over there , it had fallen, uh, two or three francs to the dollar."
157037:38,4.9,3.29,[6.37038712 3.63009588],[0.38748507066660465  1.0936560307101668],[4  7  6  5  1  4  7  6  3  6],[0.1 0.  0.1 0.2 0.1 0.3 0.2],"and why, does it just turn out  to be genetic or biochemical in origin ."
31488:53,3.3636363636363638,5.68595041322314,[5.33331145 1.        ],[0.9718475139270002  0.0007071067811865475],[6  1  7  3  6  1  1  1  1  4  6],[0.45454545 0.         0.09090909 0.09090909 0.         0.27272727 0.09090909],"because, um, there are, there must be people like you, or in other circumstances, that  could come up with, with, uh, false positives for certain kind of drugs."
153155:30,3.5,5.45,[2.15634607 6.671617  ],[0.8940060874665757  0.3320767214093626],[2  6  7  1  2  7  4  1  4  1],[0.3 0.2 0.  0.2 0.  0.1 0.2],"uh, cause he has had him for six or seven years."
45265:18,3.8,6.16,[1.83333336 6.75000001],[0.4859132361493211  0.3061870309740805],[2  7  7  1  2  7  3  6  2  1],[0.2 0.3 0.1 0.  0.  0.1 0.3],"she's had about four or five litters."
2927:38,3.0,6.0,[1.42857143 6.66666667],[0.3499278205456615  0.3333340833324895],[1  2  6  2  7  1  1  7  2  1],[0.4 0.3 0.  0.  0.  0.1 0.2],"rarely a day went by when the wind was less than fifteen or twenty miles an hour . summer and winter,"
9023:22,3.7,3.810000000000001,[2.57880924 6.3348399 ],[0.7500804966695318  0.33372596908829777],[3  6  1  7  1  6  3  3  4  3],[0.2 0.  0.4 0.1 0.  0.2 0.1],"i think i had three or four seeds in each one of them,"
159146:81,3.5454545454545454,6.066115702479338,[1.        5.6666661],[0.0007071067811865475  0.7817370834383567],[4  1  5  6  1  1  7  1  7  1  5],[0.45454545 0.         0.         0.09090909 0.18181818 0.09090909 0.18181818],"you know some of the health insurance is written  that way. you know, that, uh, if you buy an accident and death or dismemberment policy, you know, it s-, pre specified in the policy so much"
52433:93,3.6666666666666665,5.555555555555556,[1.71428571 6.4       ],[0.31943906512280335  0.34641088320086016],[2  2  1  1  7  6  6  2  2  6  2  7],[0.16666667 0.41666667 0.         0.         0.         0.25 0.16666667],"he, he happens  to be, uh, a friend of one of her, her business associates. and, or, not, not a friend, a cousin, a cousin."
27863:29,2.9,2.89,[4.29816152 1.3836366 ],[0.7916119052547905  0.3504230329429992],[1  6  5  1  3  4  2  1  4  2],[0.3 0.2 0.1 0.2 0.1 0.1 0. ],"and i have, uh, returned about every four or five years to  thinking that i would like  to do something about it."
19289:87,3.2,3.3599999999999994,[1.83310203 5.23396509],[0.2636706499460147  0.7860015569264311],[2  5  4  2  1  2  5  2  7  2],[0.1 0.5 0.  0.1 0.2 0.  0.1],"but i don't believe that he, in this first pass around, you know,  being the first one  to really turn things around or attempt  to is going  to be allowed  to get away with it either."
35550:65,2.769230769230769,4.023668639053255,[1.         4.28547587],[0.0007071067811865475  1.115885203981464],[3  1  4  6  1  4  2  1  1  4  1  1  7],[0.46153846 0.07692308 0.07692308 0.23076923 0.         0.07692308 0.07692308],"well, what you can do  is take your car payment and put it in the bank for three or four years."
175450:86,2.9,7.289999999999999,[1.14285714 7.        ],[0.24743684001360497  0.0007071067811865475],[2  1  1  1  7  1  7  1  7  1],[0.6 0.1 0.  0.  0.  0.  0.3],"and, and, but of course most time, most of the time management has a hard time distributing or getting the word out to the people who  must know."
135991:11,4.3,4.21,[5.82088246 1.99376468],[0.6471299571445103  0.49883688671521303],[1  6  7  3  5  7  2  2  5  5],[0.1 0.2 0.1 0.  0.3 0.1 0.2],"either the radio or the t v --s got  to be on, the whole time."
20456:39,3.5454545454545454,7.15702479338843,[7.         1.57142857],[0.0007071067811865475  0.5150792390001725],[7  1  7  1  7  3  2  1  7  1  2],[0.36363636 0.18181818 0.09090909 0.         0.         0. 0.36363636],"my parents, uh, bought a home in san diego about four or five years ago,"
52732:129,2.111111111111111,2.098765432098765,[1.         3.49981628],[0.0007071067811865475  0.7906859088631043],[1  1  5  4  1  1  3  2  1],[0.55555556 0.11111111 0.11111111 0.11111111 0.11111111 0. 0.        ],"because too, too often, there can be extremism that, that  hurts from, from any direction, regardless of wha-, whatever you're arguing  or concerned  about ."
169940:25,2.3,4.01,[5.89579165 1.36034471],[0.7962651625243553  0.4820613613888395],[3  1  1  1  7  1  2  1  1  5],[0.6 0.1 0.1 0.  0.1 0.  0.1],"there's nothing, maybe a picture or two that  belongs to that person"
91801:40,3.3333333333333335,5.333333333333333,[1.39948526 5.74572967],[0.34634290845730437  0.7753427160881288],[1  6  2  7  1  4  2  6  1],[0.33333333 0.22222222 0.         0.11111111 0.         0.22222222 0.11111111],"i don't know if i want  to take that responsibility or not,"
73474:74,3.3,7.01,[6.5        1.16666667],[0.35355409769934776  0.26352408702895536],[6  7  1  1  1  6  7  2  1  1],[0.5 0.1 0.  0.  0.  0.2 0.2],"there are those times when i think, gee, if i didn't have children i could be out  playing bridge or golf ."
158308:59,4.8,3.7600000000000002,[5.61737353 1.4961037 ],[0.793645568013907  0.3535554893138356],[5  5  2  7  7  5  4  5  7  1],[0.1 0.1 0.  0.1 0.4 0.  0.3],"and this is supposed  to be a very well-known center here in tyler who  had two or three, um, centers, all over, you know, the, um, city"
18302:57,5.0,6.75,[1.66666667 7.        ],[0.33333408333248943  0.0007071067811865475],[2  7  7  1  7  7  7  2],[0.125 0.25  0.    0.    0.    0.    0.625],"i think it's, i think it only has about five or six more years to go  because it's a, it's a really old bush,"
112263:70,3.1818181818181817,3.785123966942149,[1.34610628 4.36969786],[0.33967298949298264  1.1165742404012853],[4  1  1  2  2  4  3  1  4  7  6],[0.27272727 0.18181818 0.09090909 0.27272727 0.         0.09090909 0.09090909],"but our favorite when you have a little more to spend  , is to go to taiwan or may dragon."
147141:84,2.5,5.45,[7.    1.375],[0.0007071067811865475  0.4921260001259841],[7  2  1  1  7  1  1  1  3  1],[0.6 0.1 0.1 0.  0.  0.  0.2],"and, and there's this big debate  apparently about whether the ozone, there's a hole in the ozone or not."
153702:24,5.1,5.290000000000001,[6.57142857 1.66666667],[0.34992782054566157  0.3333340833324895],[6  6  2  7  7  2  6  7  7  1],[0.1 0.2 0.  0.  0.  0.3 0.4],"i guess i am about eight or nine."
13420:76,2.090909090909091,2.2644628099173554,[4.98267498 1.44378435],[0.7234528745361372  0.3513248596661353],[1  6  1  1  2  4  2  2  2  1  1],[0.45454545 0.36363636 0.         0.09090909 0.         0.09090909 0.        ],"i get some of these things  in the mail that i wonder, where in the world did they get my address  or where did they get my name  ."
173411:18,3.1818181818181817,6.694214876033058,[1.28571429 6.5       ],[0.49487216532871015  0.35355409847974023],[6  1  7  6  1  1  3  1  1  7  1],[0.54545455 0.         0.09090909 0.         0.         0.18181818 0.18181818],"and then they have naps or rest period."
92173:38,3.4545454545454546,6.0661157024793395,[6.50220453 1.71789035],[0.612237139084717  0.6272550622180727],[5  1  2  1  7  7  3  7  3  1  1],[0.36363636 0.09090909 0.18181818 0.         0.09090909 0. 0.27272727],"have you, have you done this repetitively, or just once."
170139:15,4.5,5.05,[2.0276216  6.16840727],[0.7351980611225533  0.6402415470444167],[5  3  7  7  1  6  5  7  3  1],[0.2 0.  0.2 0.  0.2 0.1 0.3],"so it's six or seven dollars."
21390:163,4.444444444444445,3.802469135802469,[5.42857143 1.        ],[0.515079239119888  0.0007071067811865475],[5  7  5  6  1  1  5  5  5],[0.22222222 0.         0.         0.         0.55555556 0.11111111 0.11111111],"and that really made it a very interesting, uh, show to where you never really knew which, which one  was going  to show up. you know, whether it was going to, where they're going  to be real close  or whether they're just going  to be partners , you know"
176953:48,2.1,2.29,[1.375 5.   ],[0.3423273287367062  0.0007071067811865475],[2  1  1  5  2  2  1  1  5  1],[0.5 0.3 0.  0.  0.2 0.  0. ],"they always like  to be able  to attract the, uh, einsteins or the professor chou."
121355:48,1.8,0.9600000000000002,[1.3786944 3.488316 ],[0.3480043155063564  0.3706154962292717],[1  3  2  4  2  2  1  1  1  1],[0.5 0.3 0.1 0.1 0.  0.  0. ],"and any time there's, there is a budget cut or crunches , it's always the small guy that, that  gets hurt."
25332:63,5.7,1.81,[4.83359216 7.        ],[0.7547564378350468  0.0007071067811865475],[7  5  6  5  4  6  7  7  7  3],[0.  0.  0.1 0.1 0.2 0.2 0.4],"i mean, any other time of year, that's not the case, because it could be very warm or very cold."
98968:82,3.1,6.090000000000001,[1.57144132 6.66667113],[0.6388981452743842  0.3333329680498334],[3  6  1  1  1  1  3  1  7  7],[0.5 0.  0.2 0.  0.  0.1 0.2],"and, uh, many matters are so complicated that it 's so hard to, uh, come up with the fair value, uh, or the fair sentence."
66676:23,5.3,2.21,[2.         5.66665846],[0.0007071067811865475  0.7453655827082257],[5  5  4  6  7  2  5  5  7  7],[0.  0.1 0.  0.1 0.4 0.1 0.3],"now whether they finally got it or not, i don't know ."
87247:31,2.1,3.4900000000000007,[5.35368096 1.24367323],[1.157071162880827  0.30356021363378993],[4  7  2  1  1  1  1  2  1  1],[0.6 0.2 0.  0.1 0.  0.  0.1],"i do not know if you listen to him or not,"
24733:51,5.1,4.09,[6.29714998 2.39910521],[0.6221296572863328  0.7220909341267439],[7  3  6  3  7  7  1  5  5  7],[0.1 0.  0.2 0.  0.2 0.1 0.4],"and you got  to divide it two different categories whether you live in the city or whether you live in a more rural place like i do."
102716:9,1.8888888888888888,0.9876543209876544,[2.59972894 1.        ],[0.5658295673689312  0.0007071067811865475],[1  4  1  2  2  1  1  2  3],[0.44444444 0.33333333 0.11111111 0.11111111 0.         0. 0.        ],"one or two times in my life i've ever had venison , i've loved it."
65406:20,3.1,4.69,[4.49974887 1.        ],[1.2077535526885375  0.0007071067811865475],[3  1  1  1  6  1  2  5  7  4],[0.4 0.1 0.1 0.1 0.1 0.1 0.1],"i must have like fifty or sixty books by him."
157431:41,2.4,3.2399999999999993,[4.37847655 1.45989041],[1.3497434214701751  0.39014466313983726],[3  1  7  1  2  1  2  1  4  2],[0.4 0.3 0.1 0.1 0.  0.  0.1],"i'm not going  to work any harder and make any more or create any more jobs."
174581:58,4.636363636363637,4.77685950413223,[2.02501234 6.14600575],[0.7315866182539678  0.5909088152401387],[6  5  5  6  7  1  1  7  7  3  3],[0.18181818 0.         0.18181818 0.         0.18181818 0.18181818 0.27272727],"and, of course, you have some savings in terms of taxpayer money  keeping people in jail or not."
67512:40,2.111111111111111,1.432098765432099,[1.3359395  3.66610688],[0.33687374860513025  0.3363007057613966],[1  4  2  3  1  1  2  4  1],[0.44444444 0.22222222 0.11111111 0.22222222 0.         0. 0.        ],"i mean, maybe it's because of the winters. uh, or maybe just because, you know, there's, there's a lot more flat lands, you know, out in the west."
1756:89,3.909090909090909,6.264462809917355,[5.57139952 1.        ],[1.0594851317756915  0.0007071067811865475],[5  1  1  7  3  4  1  1  7  7  6],[0.36363636 0.         0.09090909 0.09090909 0.09090909 0.09090909 0.27272727],"the, the piece of music, the piece of music was about, i think  about forty or fifty years old."
157597:36,5.222222222222222,3.2839506172839505,[4.33374856 7.        ],[1.1305453838719426  0.0007071067811865475],[1  4  7  7  6  5  5  5  7],[0.11111111 0.         0.         0.11111111 0.33333333 0.11111111 0.33333333],"and we do sit down at the beginning of every month or the end of every month and write down how much we know we're going  to spend  and set that money aside,"
152534:46,2.1,3.09,[1.25 5.5 ],[0.3061870343416892  0.3535540978878871],[1  2  2  1  1  1  5  1  6  1],[0.6 0.2 0.  0.  0.1 0.1 0. ],"it's more of the game plan of how do they convince the judge or jury through argument ."
29161:24,6.222222222222222,3.5061728395061724,[6.875 1.   ],[0.23385465571589545  0.0007071067811865475],[6  7  1  7  7  7  7  7  7],[0.11111111 0.         0.         0.         0.         0.11111111 0.77777778],"she could either have taken tennis, or weight lifting."
153841:35,4.363636363636363,6.049586776859503,[1.24999675 6.14284686],[0.3061857061352071  0.589032872984998],[6  7  5  5  7  1  7  1  1  6  2],[0.27272727 0.09090909 0.         0.         0.18181818 0.18181818 0.27272727],"and sometimes i'll read like the, uh, wall street or the new york times."
